Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,PG.cFactor
100,0.02,1500,500000.0,17.15,2.43,0.81,1.433667712731317
101,0.02,1510,500000.0,17.15,2.43,0.81,1.4342052755410806
102,0.02,1520,500000.0,17.15,2.43,0.81,1.4377897538046622
103,0.02,1530,500000.0,17.15,2.43,0.81,1.4414659808654335
104,0.02,1540,500000.0,17.15,2.43,0.81,1.442122696067739
105,0.02,1550,500000.0,17.15,2.43,0.81,1.4459394609371756
106,0.02,1560,500000.0,17.15,2.43,0.81,1.446672484143814
107,0.02,1570,500000.0,17.15,2.43,0.81,1.4506344231815702
108,0.02,1580,500000.0,17.15,2.43,0.81,1.4514455275971354
109,0.02,1590,500000.0,17.15,2.43,0.81,1.4555575920956088
110,0.02,1600,500000.0,17.15,2.43,0.81,1.45644872329798
111,0.02,1610,500000.0,17.15,2.43,0.81,1.4607161966797657
112,0.02,1620,500000.0,17.15,2.43,0.81,1.461689480167371
113,0.02,1630,500000.0,17.15,2.43,0.81,1.4661179968295197
114,0.02,1640,500000.0,17.15,2.43,0.81,1.4671757464714366
115,0.02,1650,500000.0,17.15,2.43,0.81,1.4682654262167942
116,0.02,1660,500000.0,17.15,2.43,0.81,1.472916039858722
117,0.02,1670,500000.0,17.15,2.43,0.81,1.474093410753626
118,0.02,1680,500000.0,17.15,2.43,0.81,1.475303596328748
119,0.02,1690,500000.0,17.15,2.43,0.81,1.4801873372952423
120,0.02,1700,500000.0,17.15,2.43,0.81,1.4814888250827187
121,0.02,1710,500000.0,17.15,2.43,0.81,1.4828241535162892
122,0.02,1720,500000.0,17.15,2.43,0.81,1.484193543188678
123,0.02,1730,500000.0,17.15,2.43,0.81,1.4893837308043654
124,0.02,1740,500000.0,17.15,2.43,0.81,1.490849401637075
125,0.02,1750,500000.0,17.15,2.43,0.81,1.4923503504315625
126,0.02,1760,500000.0,17.15,2.43,0.81,1.493886850126298
127,0.02,1770,500000.0,17.15,2.43,0.81,1.4994039506586678
128,0.02,1780,500000.0,17.15,2.43,0.81,1.5010424235222162
129,0.02,1790,500000.0,17.15,2.43,0.81,1.502717870241521
130,0.02,1800,500000.0,17.15,2.43,0.81,1.504430619946115
131,0.02,1810,500000.0,17.15,2.43,0.81,1.5061810140465293
132,0.02,1820,500000.0,17.15,2.43,0.81,1.5079694063994111
133,0.02,1830,500000.0,17.15,2.43,0.81,1.5139788773686675
134,0.02,1840,500000.0,17.15,2.43,0.81,1.5158783679339198
135,0.02,1850,500000.0,17.15,2.43,0.81,1.517817603130994
136,0.02,1860,500000.0,17.15,2.43,0.81,1.519796999868974
137,0.02,1870,500000.0,17.15,2.43,0.81,1.521816988780577
138,0.02,1880,500000.0,17.15,2.43,0.81,1.523878014455014
139,0.02,1890,500000.0,17.15,2.43,0.81,1.5259805356815233
140,0.02,1900,500000.0,17.15,2.43,0.81,1.5281250257039851
141,0.02,1910,500000.0,17.15,2.43,0.81,1.5303119724869625
142,0.02,1920,500000.0,17.15,2.43,0.81,1.532541878993534
143,0.02,1930,500000.0,17.15,2.43,0.81,1.534815263474804
144,0.02,1940,500000.0,17.15,2.43,0.81,1.5371326597720596
145,0.02,1950,500000.0,17.15,2.43,0.81,1.5394946176312805
146,0.02,1960,500000.0,17.15,2.43,0.81,1.5419017030307858
147,0.02,1970,500000.0,17.15,2.43,0.81,1.5443544985222362
148,0.02,1980,500000.0,17.15,2.43,0.81,1.5468536035854068
149,0.02,1990,500000.0,17.15,2.43,0.81,1.5493996349971195
150,0.02,2000,500000.0,17.15,2.43,0.81,1.551993227214839
151,0.02,2010,500000.0,17.15,2.43,0.81,1.5546350327754337
152,0.02,2020,500000.0,17.15,2.43,0.81,1.5573257227094102
153,0.02,2030,500000.0,17.15,2.43,0.81,1.5600659869712787
154,0.02,2040,500000.0,17.15,2.43,0.81,1.5578150440698002
155,0.02,2050,500000.0,17.15,2.43,0.81,1.5606069692808129
156,0.02,2060,500000.0,17.15,2.43,0.81,1.5634497295942005
157,0.02,2070,500000.0,17.15,2.43,0.81,1.566344075009539
158,0.02,2080,500000.0,17.15,2.43,0.81,1.5692907762790194
159,0.02,2090,500000.0,17.15,2.43,0.81,1.5722906254273268
160,0.02,2100,500000.0,17.15,2.43,0.81,1.5753444362910587
161,0.02,2110,500000.0,17.15,2.43,0.81,1.5784530450786916
162,0.02,2120,500000.0,17.15,2.43,0.81,1.5762260242817332
163,0.02,2130,500000.0,17.15,2.43,0.81,1.5793903381641194
164,0.02,2140,500000.0,17.15,2.43,0.81,1.5826110186001665
165,0.02,2150,500000.0,17.15,2.43,0.81,1.5858889725268213
166,0.02,2160,500000.0,17.15,2.43,0.81,1.5892251316496036
167,0.02,2170,500000.0,17.15,2.43,0.81,1.5870146840822026
168,0.02,2180,500000.0,17.15,2.43,0.81,1.5904092771148983
169,0.02,2190,500000.0,17.15,2.43,0.81,1.5938638443057251
170,0.02,2200,500000.0,17.15,2.43,0.81,1.5973793955693123
171,0.02,2210,500000.0,17.15,2.43,0.81,1.6009569683792826
172,0.02,2220,500000.0,17.15,2.43,0.81,1.598759473979193
173,0.02,2230,500000.0,17.15,2.43,0.81,1.6023986443879417
174,0.02,2240,500000.0,17.15,2.43,0.81,1.6061018261539863
175,0.02,2250,500000.0,17.15,2.43,0.81,1.609870143718051
176,0.02,2260,500000.0,17.15,2.43,0.81,1.6076841543385003
177,0.02,2270,500000.0,17.15,2.43,0.81,1.611516692150145
178,0.02,2280,500000.0,17.15,2.43,0.81,1.6154165370006153
179,0.02,2290,500000.0,17.15,2.43,0.81,1.6132424043939848
180,0.02,2300,500000.0,17.15,2.43,0.81,1.617208300284999
181,0.02,2310,500000.0,17.15,2.43,0.81,1.621243803737892
182,0.02,2320,500000.0,17.15,2.43,0.81,1.625350200911189
183,0.02,2330,500000.0,17.15,2.43,0.81,1.6231839407654165
184,0.02,2340,500000.0,17.15,2.43,0.81,1.6273595083979884
185,0.02,2350,500000.0,17.15,2.43,0.81,1.6316084778397386
186,0.02,2360,500000.0,17.15,2.43,0.81,1.6294514836276903
187,0.02,2370,500000.0,17.15,2.43,0.81,1.6337718093863978
188,0.02,2380,500000.0,17.15,2.43,0.81,1.6381681933555177
189,0.02,2390,500000.0,17.15,2.43,0.81,1.6360194049840426
190,0.02,2400,500000.0,17.15,2.43,0.81,1.640489486653004
191,0.02,2410,500000.0,17.15,2.43,0.81,1.6383519134983031
192,0.02,2420,500000.0,17.15,2.43,0.81,1.642896816147776
193,0.02,2430,500000.0,17.15,2.43,0.81,1.6475219722801833
194,0.02,2440,500000.0,17.15,2.43,0.81,1.645390927128208
195,0.02,2450,500000.0,17.15,2.43,0.81,1.6500934958333653
196,0.02,2460,500000.0,17.15,2.43,0.81,1.6548793842607046
197,0.02,2470,500000.0,17.15,2.43,0.81,1.6527538557416488
198,0.02,2480,500000.0,17.15,2.43,0.81,1.657619925655453
199,0.02,2490,500000.0,17.15,2.43,0.81,1.6555039524215385
200,0.02,2500,500000.0,17.15,2.43,0.81,1.660451553044291
201,0.02,2510,500000.0,17.15,2.43,0.81,1.6654873291803611
202,0.02,2520,500000.0,17.15,2.43,0.81,1.6633752724132642
203,0.02,2530,500000.0,17.15,2.43,0.81,1.6684956345265751
204,0.02,2540,500000.0,17.15,2.43,0.81,1.6663921477695516
205,0.02,2550,500000.0,17.15,2.43,0.81,1.6715985960079354
206,0.02,2560,500000.0,17.15,2.43,0.81,1.676898522415793
207,0.02,2570,500000.0,17.15,2.43,0.81,1.67479739021763
208,0.02,2580,500000.0,17.15,2.43,0.81,1.680186770372758
209,0.02,2590,500000.0,17.15,2.43,0.81,1.6780932551811467
210,0.02,2600,500000.0,17.15,2.43,0.81,1.6835737534763071
211,0.02,2610,500000.0,17.15,2.43,0.81,1.6814874915512652
212,0.02,2620,500000.0,17.15,2.43,0.81,1.6870608307458617
213,0.02,2630,500000.0,17.15,2.43,0.81,1.684981463897114
214,0.02,2640,500000.0,17.15,2.43,0.81,1.690649426807136
215,0.02,2650,500000.0,17.15,2.43,0.81,1.6885766020884576
216,0.02,2660,500000.0,17.15,2.43,0.81,1.6943410333662732
217,0.02,2670,500000.0,17.15,2.43,0.81,1.7002108839550167
218,0.02,2680,500000.0,17.15,2.43,0.81,1.6981372107867072
219,0.02,2690,500000.0,17.15,2.43,0.81,1.7041076151063972
220,0.02,2700,500000.0,17.15,2.43,0.81,1.702039589771001
221,0.02,2710,500000.0,17.15,2.43,0.81,1.7081125894856282
222,0.02,2720,500000.0,17.15,2.43,0.81,1.7060498731520604
223,0.02,2730,500000.0,17.15,2.43,0.81,1.7122275800092472
224,0.02,2740,500000.0,17.15,2.43,0.81,1.7101698377971126
225,0.02,2750,500000.0,17.15,2.43,0.81,1.7164544359148088
226,0.02,2760,500000.0,17.15,2.43,0.81,1.714401336629182
227,0.02,2770,500000.0,17.15,2.43,0.81,1.7207950848981397
228,0.02,2780,500000.0,17.15,2.43,0.81,1.7187463007699086
229,0.02,2790,500000.0,17.15,2.43,0.81,1.725251535377289
230,0.02,2800,500000.0,17.15,2.43,0.81,1.7232067418091286
231,0.02,2810,500000.0,17.15,2.43,0.81,1.7211740830578872
232,0.02,2820,500000.0,17.15,2.43,0.81,1.727784754206512
233,0.02,2830,500000.0,17.15,2.43,0.81,1.725755650598546
234,0.02,2840,500000.0,17.15,2.43,0.81,1.732482517830678
235,0.02,2850,500000.0,17.15,2.43,0.81,1.730456653737963
236,0.02,2860,500000.0,17.15,2.43,0.81,1.7373023006418744
237,0.02,2870,500000.0,17.15,2.43,0.81,1.7352793627869607
238,0.02,2880,500000.0,17.15,2.43,0.81,1.7422464615252664
239,0.02,2890,500000.0,17.15,2.43,0.81,1.7402261387477802
240,0.02,2900,500000.0,17.15,2.43,0.81,1.747317453281164
241,0.02,2910,500000.0,17.15,2.43,0.81,1.7452994363073877
242,0.02,2920,500000.0,17.15,2.43,0.81,1.7432929151274017
243,0.02,2930,500000.0,17.15,2.43,0.81,1.7505018069954814
244,0.02,2940,500000.0,17.15,2.43,0.81,1.7484971878729925
245,0.02,2950,500000.0,17.15,2.43,0.81,1.7558359025148185
246,0.02,2960,500000.0,17.15,2.43,0.81,1.7538328821918012
247,0.02,2970,500000.0,17.15,2.43,0.81,1.7613044782525276
248,0.02,2980,500000.0,17.15,2.43,0.81,1.7593027546125992
249,0.02,2990,500000.0,17.15,2.43,0.81,1.757312149740715
250,0.02,3000,500000.0,17.15,2.43,0.81,1.7649096688313315
251,0.02,3010,500000.0,17.15,2.43,0.81,1.7629199733189227
252,0.02,3020,500000.0,17.15,2.43,0.81,1.7706565996139254
253,0.02,3030,500000.0,17.15,2.43,0.81,1.7686675156566432
254,0.02,3040,500000.0,17.15,2.43,0.81,1.7666892874892075
255,0.02,3050,500000.0,17.15,2.43,0.81,1.774557867131724
256,0.02,3060,500000.0,17.15,2.43,0.81,1.7725798736533844
257,0.02,3070,500000.0,17.15,2.43,0.81,1.780594237426178
258,0.02,3080,500000.0,17.15,2.43,0.81,1.7786161840067751
259,0.02,3090,500000.0,17.15,2.43,0.81,1.7766487401845403
260,0.02,3100,500000.0,17.15,2.43,0.81,1.7848015520508829
261,0.02,3110,500000.0,17.15,2.43,0.81,1.7828336803569562
262,0.02,3120,500000.0,17.15,2.43,0.81,1.7911394397627125
263,0.02,3130,500000.0,17.15,2.43,0.81,1.7891708476413954
264,0.02,3140,500000.0,17.15,2.43,0.81,1.787212634683398
265,0.02,3150,500000.0,17.15,2.43,0.81,1.7956638370369866
266,0.02,3160,500000.0,17.15,2.43,0.81,1.793704543205999
267,0.02,3170,500000.0,17.15,2.43,0.81,1.7917554769326751
268,0.02,3180,500000.0,17.15,2.43,0.81,1.8003557159727106
269,0.02,3190,500000.0,17.15,2.43,0.81,1.7984052132716832
270,0.02,3200,500000.0,17.15,2.43,0.81,1.8071700299965687
271,0.02,3210,500000.0,17.15,2.43,0.81,1.805217800516276
272,0.02,3220,500000.0,17.15,2.43,0.81,1.8032755915953984
273,0.02,3230,500000.0,17.15,2.43,0.81,1.8121972644823925
274,0.02,3240,500000.0,17.15,2.43,0.81,1.810252978548184
275,0.02,3250,500000.0,17.15,2.43,0.81,1.8083185752307271
276,0.02,3260,500000.0,17.15,2.43,0.81,1.817401133170114
277,0.02,3270,500000.0,17.15,2.43,0.81,1.81546430629344
278,0.02,3280,500000.0,17.15,2.43,0.81,1.8135372289613303
279,0.02,3290,500000.0,17.15,2.43,0.81,1.8227848572822096
280,0.02,3300,500000.0,17.15,2.43,0.81,1.820855013114182
281,0.02,3310,500000.0,17.15,2.43,0.81,1.8189347901145143
282,0.02,3320,500000.0,17.15,2.43,0.81,1.828351836950889
283,0.02,3330,500000.0,17.15,2.43,0.81,1.826428506699268
284,0.02,3340,500000.0,17.15,2.43,0.81,1.8245146737703968
285,0.02,3350,500000.0,17.15,2.43,0.81,1.8341056568034912
286,0.02,3360,500000.0,17.15,2.43,0.81,1.832188378667728
287,0.02,3370,500000.0,17.15,2.43,0.81,1.830280478382876
288,0.02,3380,500000.0,17.15,2.43,0.81,1.8400500919812228
289,0.02,3390,500000.0,17.15,2.43,0.81,1.8381384106044016
290,0.02,3400,500000.0,17.15,2.43,0.81,1.8362359918314088
291,0.02,3410,500000.0,17.15,2.43,0.81,1.8461891146121363
292,0.02,3420,500000.0,17.15,2.43,0.81,1.8442825805473604
293,0.02,3430,500000.0,17.15,2.43,0.81,1.842385197923146
294,0.02,3440,500000.0,17.15,2.43,0.81,1.852526900760176
295,0.02,3450,500000.0,17.15,2.43,0.81,1.8506250699510396
296,0.02,3460,500000.0,17.15,2.43,0.81,1.8487322833690567
297,0.02,3470,500000.0,17.15,2.43,0.81,1.859067837874533
298,0.02,3480,500000.0,17.15,2.43,0.81,1.8571702711474096
299,0.02,3490,500000.0,17.15,2.43,0.81,1.8552816452567584
300,0.02,3500,500000.0,17.15,2.43,0.81,1.8658165327664669
301,0.02,3510,500000.0,17.15,2.43,0.81,1.863922795333515
302,0.02,3520,500000.0,17.15,2.43,0.81,1.8620378990487645
303,0.02,3530,500000.0,17.15,2.43,0.81,1.8601617792683764
304,0.02,3540,500000.0,17.15,2.43,0.81,1.870887481113771
305,0.02,3550,500000.0,17.15,2.43,0.81,1.8690058871334971
306,0.02,3560,500000.0,17.15,2.43,0.81,1.8671329748191288
307,0.02,3570,500000.0,17.15,2.43,0.81,1.8780694036287089
308,0.02,3580,500000.0,17.15,2.43,0.81,1.876190687961922
309,0.02,3590,500000.0,17.15,2.43,0.81,1.8743205625562929
310,0.02,3600,500000.0,17.15,2.43,0.81,1.8724589658581048
311,0.02,3610,500000.0,17.15,2.43,0.81,1.883597625804449
312,0.02,3620,500000.0,17.15,2.43,0.81,1.8817298694928413
313,0.02,3630,500000.0,17.15,2.43,0.81,1.8798705549712225
314,0.02,3640,500000.0,17.15,2.43,0.81,1.8912322811644895
315,0.02,3650,500000.0,17.15,2.43,0.81,1.8893664784185795
316,0.02,3660,500000.0,17.15,2.43,0.81,1.887509033740641
317,0.02,3670,500000.0,17.15,2.43,0.81,1.8856598884175415
318,0.02,3680,500000.0,17.15,2.43,0.81,1.8972362390166708
319,0.02,3690,500000.0,17.15,2.43,0.81,1.895380253594432
320,0.02,3700,500000.0,17.15,2.43,0.81,1.8935324879692652
321,0.02,3710,500000.0,17.15,2.43,0.81,1.9053452797214097
322,0.02,3720,500000.0,17.15,2.43,0.81,1.9034903442667048
323,0.02,3730,500000.0,17.15,2.43,0.81,1.9016435520358452
324,0.02,3740,500000.0,17.15,2.43,0.81,1.8998048469297
325,0.02,3750,500000.0,17.15,2.43,0.81,1.9118457264473587
326,0.02,3760,500000.0,17.15,2.43,0.81,1.9099995020850549
327,0.02,3770,500000.0,17.15,2.43,0.81,1.9081612921502549
328,0.02,3780,500000.0,17.15,2.43,0.81,1.9063310420304307
329,0.02,3790,500000.0,17.15,2.43,0.81,1.9186070635912644
330,0.02,3800,500000.0,17.15,2.43,0.81,1.9167689464386204
331,0.02,3810,500000.0,17.15,2.43,0.81,1.9149387201237864
332,0.02,3820,500000.0,17.15,2.43,0.81,1.913116331454547
333,0.02,3830,500000.0,17.15,2.43,0.81,1.9256348534933585
334,0.02,3840,500000.0,17.15,2.43,0.81,1.9238042511206956
335,0.02,3850,500000.0,17.15,2.43,0.81,1.92198142099036
336,0.02,3860,500000.0,17.15,2.43,0.81,1.920166311267474
337,0.02,3870,500000.0,17.15,2.43,0.81,1.9329350113489463
338,0.02,3880,500000.0,17.15,2.43,0.81,1.9311113418241657
339,0.02,3890,500000.0,17.15,2.43,0.81,1.9292953307405591
340,0.02,3900,500000.0,17.15,2.43,0.81,1.927486927561049
341,0.02,3910,500000.0,17.15,2.43,0.81,1.9405138183462285
342,0.02,3920,500000.0,17.15,2.43,0.81,1.9386965093121085
343,0.02,3930,500000.0,17.15,2.43,0.81,1.936886749524311
344,0.02,3940,500000.0,17.15,2.43,0.81,1.9350844896869648
345,0.02,3950,500000.0,17.15,2.43,0.81,1.948377935962774
346,0.02,3960,500000.0,17.15,2.43,0.81,1.9465664237436828
347,0.02,3970,500000.0,17.15,2.43,0.81,1.944762356005392
348,0.02,3980,500000.0,17.15,2.43,0.81,1.942965684639614
349,0.02,3990,500000.0,17.15,2.43,0.81,1.956534421487116
350,0.02,4000,500000.0,17.15,2.43,0.81,1.9547281502217368
351,0.02,4010,500000.0,17.15,2.43,0.81,1.9529292229344333
352,0.02,4020,500000.0,17.15,2.43,0.81,1.95113759265352
353,0.02,4030,500000.0,17.15,2.43,0.81,1.9649907448379336
354,0.02,4040,500000.0,17.15,2.43,0.81,1.96318916563474
355,0.02,4050,500000.0,17.15,2.43,0.81,1.961394834013073
356,0.02,4060,500000.0,17.15,2.43,0.81,1.95960770408936
357,0.02,4070,500000.0,17.15,2.43,0.81,1.95782773037931
358,0.02,4080,500000.0,17.15,2.43,0.81,1.9719573768742
359,0.02,4090,500000.0,17.15,2.43,0.81,1.9701671021307143
360,0.02,4100,500000.0,17.15,2.43,0.81,1.9683839376893304
361,0.02,4110,500000.0,17.15,2.43,0.81,1.966607839094845
362,0.02,4120,500000.0,17.15,2.43,0.81,1.9810411405171136
363,0.02,4130,500000.0,17.15,2.43,0.81,1.979254389063113
364,0.02,4140,500000.0,17.15,2.43,0.81,1.977474660291654
365,0.02,4150,500000.0,17.15,2.43,0.81,1.9757019107331075
366,0.02,4160,500000.0,17.15,2.43,0.81,1.9739360972879385
367,0.02,4170,500000.0,17.15,2.43,0.81,1.9886655267326885
368,0.02,4180,500000.0,17.15,2.43,0.81,1.986888708103831
369,0.02,4190,500000.0,17.15,2.43,0.81,1.9851187856606425
370,0.02,4200,500000.0,17.15,2.43,0.81,1.983355717236288
371,0.02,4210,500000.0,17.15,2.43,0.81,1.981599461018687
372,0.02,4220,500000.0,17.15,2.43,0.81,1.9966354096423216
373,0.02,4230,500000.0,17.15,2.43,0.81,1.9948677957932583
374,0.02,4240,500000.0,17.15,2.43,0.81,1.993106957317769
375,0.02,4250,500000.0,17.15,2.43,0.81,1.9913528532868687
376,0.02,4260,500000.0,17.15,2.43,0.81,1.989605443111692
377,0.02,4270,500000.0,17.15,2.43,0.81,2.0049587893323046
378,0.02,4280,500000.0,17.15,2.43,0.81,2.003199668271318
379,0.02,4290,500000.0,17.15,2.43,0.81,2.00144720719573
380,0.02,4300,500000.0,17.15,2.43,0.81,1.9997013663530192
381,0.02,4310,500000.0,17.15,2.43,0.81,2.015402157416677
382,0.02,4320,500000.0,17.15,2.43,0.81,2.0136442430326498
383,0.02,4330,500000.0,17.15,2.43,0.81,2.011892917376526
384,0.02,4340,500000.0,17.15,2.43,0.81,2.010148141497687
385,0.02,4350,500000.0,17.15,2.43,0.81,2.008409876762558
386,0.02,4360,500000.0,17.15,2.43,0.81,2.006678084851031
387,0.02,4370,500000.0,17.15,2.43,0.81,2.0227009486419942
388,0.02,4380,500000.0,17.15,2.43,0.81,2.020956734227788
389,0.02,4390,500000.0,17.15,2.43,0.81,2.01921896433524
390,0.02,4400,500000.0,17.15,2.43,0.81,2.0174876013949903
391,0.02,4410,500000.0,17.15,2.43,0.81,2.0157626081393945
392,0.02,4420,500000.0,17.15,2.43,0.81,2.0321387106159494
393,0.02,4430,500000.0,17.15,2.43,0.81,2.030400935163084
394,0.02,4440,500000.0,17.15,2.43,0.81,2.028669503715728
395,0.02,4450,500000.0,17.15,2.43,0.81,2.0269443797177584
396,0.02,4460,500000.0,17.15,2.43,0.81,2.025225526903006
397,0.02,4470,500000.0,17.15,2.43,0.81,2.041967988366289
398,0.02,4480,500000.0,17.15,2.43,0.81,2.0402359901827163
399,0.02,4490,500000.0,17.15,2.43,0.81,2.038510240029526
