Energy1[eV],Photons1,Energy3[eV],Photons3,Energy5[eV],Photons5,Energy7[eV],Photons7,Energy9[eV],Photons9
1389.57,23500000000000.0,4168.72,0.0,6947.86,0.0,9727.01,0.0,12506.2,0.0
1371.76,83760000000000.0,4115.28,0.0,6858.8,0.0,9602.32,0.0,12345.8,0.0
1343.84,178200000000000.0,4031.53,0.0,6719.21,0.0,9406.89,0.0,12094.6,0.0
1307.05,302800000000000.0,3921.16,0.0,6535.26,0.0,9149.37,0.0,11763.5,0.0
1262.91,452200000000000.0,3788.72,0.0,6314.53,0.0,8840.34,0.0,11366.1,0.0
1213.05,620900000000000.0,3639.14,0.0,6065.24,0.0,8491.33,0.0,10917.4,0.0
1159.13,803400000000000.0,3477.39,0.0,5795.65,0.0,8113.91,0.0,10432.2,0.0
1102.7,994300000000000.0,3308.11,0.0,5513.52,0.0,7718.93,0.0,9924.34,0.0
1045.14,1189000000000000.0,3135.43,0.0,5225.72,0.0,7316.0,0.0,9406.29,0.0
987.603,1384000000000000.0,2962.81,0.0,4938.02,0.0,6913.22,0.0,8888.43,0.0
931.014,1575000000000000.0,2793.04,0.0,4655.07,0.0,6517.1,0.0,8379.12,0.0
876.083,1761000000000000.0,2628.25,0.0,4380.42,0.0,6132.58,0.0,7884.75,0.0
823.323,1939000000000000.0,2469.97,0.0,4116.62,0.0,5763.26,0.0,7409.91,0.0
773.075,2109000000000000.0,2319.22,0.0,3865.37,0.0,5411.52,0.0,6957.67,0.0
725.541,2271000000000000.0,2176.62,0.0,3627.7,0.0,5078.78,0.0,6529.87,0.0
680.814,2422000000000000.0,2042.44,0.0,3404.07,0.0,4765.7,0.0,6127.33,0.0
638.906,2564000000000000.0,1916.72,0.0,3194.53,0.0,4472.34,0.0,5750.15,0.0
599.764,2696000000000000.0,1799.29,0.0,2998.82,0.0,4198.35,0.0,5397.88,0.0
563.295,2819000000000000.0,1689.88,0.0,2816.47,0.0,3943.06,0.0,5069.65,0.0
529.376,2934000000000000.0,1588.13,0.0,2646.88,0.0,3705.63,0.0,4764.38,0.0
497.868,3040000000000000.0,1493.6,0.0,2489.34,0.0,3485.08,0.0,4480.81,0.0
468.623,3140000000000000.0,1405.87,0.0,2343.12,0.0,3280.36,0.0,4217.61,0.0
441.49,3232000000000000.0,1324.47,0.0,2207.45,0.0,3090.43,0.0,3973.41,0.0
416.319,3317000000000000.0,1248.96,0.0,2081.59,0.0,2914.23,0.0,3746.87,0.0
392.965,3395000000000000.0,1178.9,0.0,1964.83,0.0,2750.76,0.0,3536.69,0.0
371.292,3469000000000000.0,1113.87,0.0,1856.46,0.0,2599.04,0.0,3341.62,0.0
351.167,3536000000000000.0,1053.5,0.0,1755.83,0.0,2458.17,0.0,3160.5,0.0
332.469,3599000000000000.0,997.408,0.0,1662.35,0.0,2327.28,0.0,2992.22,0.0
315.085,3659000000000000.0,945.256,0.0,1575.43,0.0,2205.6,0.0,2835.77,0.0
298.91,3714000000000000.0,896.729,0.0,1494.55,0.0,2092.37,0.0,2690.19,0.0
283.846,3765000000000000.0,851.537,0.0,1419.23,0.0,1986.92,0.0,2554.61,0.0
269.804,3812000000000000.0,809.413,0.0,1349.02,0.0,1888.63,0.0,2428.24,0.0
256.704,3856000000000000.0,770.112,0.0,1283.52,0.0,1796.93,0.0,2310.34,0.0
244.47,3897000000000000.0,733.409,0.0,1222.35,0.0,1711.29,0.0,2200.23,0.0
233.033,3937000000000000.0,699.099,0.0,1165.17,0.0,1631.23,0.0,2097.3,0.0
222.332,3973000000000000.0,666.995,0.0,1111.66,0.0,1556.32,0.0,2000.98,0.0
212.308,4006000000000000.0,636.924,0.0,1061.54,0.0,1486.16,0.0,1910.77,0.0
202.91,4038000000000000.0,608.731,0.0,1014.55,0.0,1420.37,0.0,1826.19,0.0
194.091,4068000000000000.0,582.272,0.0,970.453,0.0,1358.63,0.0,1746.82,0.0
185.805,4097000000000000.0,557.415,0.0,929.026,0.0,1300.64,0.0,1672.25,0.0
178.014,4123000000000000.0,534.042,0.0,890.07,0.0,1246.1,0.0,1602.13,0.0
170.681,4147000000000000.0,512.043,0.0,853.405,0.0,1194.77,0.0,1536.13,0.0
163.772,4171000000000000.0,491.317,0.0,818.862,0.0,1146.41,0.0,1473.95,0.0
157.258,4192000000000000.0,471.774,0.0,786.289,0.0,1100.81,0.0,1415.32,0.0
151.109,4213000000000000.0,453.327,0.0,755.546,0.0,1057.76,0.0,1359.98,0.0
145.301,4233000000000000.0,435.902,0.0,726.503,0.0,1017.1,0.0,1307.71,0.0
139.809,4252000000000000.0,419.426,0.0,699.043,0.0,978.661,0.0,1258.28,0.0
134.612,4269000000000000.0,403.835,0.0,673.058,0.0,942.281,0.0,1211.5,0.0
129.689,4286000000000000.0,389.068,0.0,648.447,0.0,907.825,0.0,1167.2,0.0
125.024,4301000000000000.0,375.071,0.0,625.118,0.0,875.166,0.0,1125.21,0.0
120.598,4317000000000000.0,361.793,0.0,602.988,0.0,844.183,0.0,1085.38,0.0
